ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12135766,JD332562,08/14/2020 05:49:00 PM,016XX S LAWNDALE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,1014.0,10.0,24.0,29.0,26,1151972.0,1891480.0,2020.0,08/21/2020 03:53:36 PM,41.858091628,-87.717650894,"(41.858091628, -87.717650894)"
12135981,JD332856,08/14/2020 11:15:00 PM,043XX N KIMBALL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1724.0,17.0,33.0,16.0,08B,1152943.0,1928575.0,2020.0,08/21/2020 03:53:36 PM,41.959864526,-87.713102124,"(41.959864526, -87.713102124)"
12140043,JD336524,08/04/2020 08:00:00 AM,072XX S UNIVERSITY AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,False,False,324.0,3.0,5.0,69.0,26,1185136.0,1857184.0,2020.0,08/21/2020 03:51:30 PM,41.763263853,-87.596998313,"(41.763263853, -87.596998313)"
12135615,JD332383,08/14/2020 04:00:00 PM,004XX E BENTON PL,0560,ASSAULT,SIMPLE,PARK PROPERTY,False,False,114.0,1.0,42.0,32.0,08A,1179356.0,1901680.0,2020.0,08/21/2020 03:53:36 PM,41.885498163,-87.616822841,"(41.885498163, -87.616822841)"
12136804,JD333212,08/14/2020 12:55:00 PM,008XX S WOOD ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COLLEGE / UNIVERSITY - GROUNDS,False,False,1231.0,12.0,27.0,28.0,11,1164516.0,1896262.0,2020.0,08/21/2020 03:53:36 PM,41.870957804,-87.671471277,"(41.870957804, -87.671471277)"
12135888,JD332636,08/14/2020 07:15:00 PM,0000X W TERMINAL ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,True,False,1653.0,16.0,41.0,76.0,26,1101811.0,1934419.0,2020.0,08/21/2020 03:53:36 PM,41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
12246699,JD460897,12/14/2020 01:00:00 PM,084XX S EXCHANGE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,423.0,4.0,10.0,46.0,11,1197282.0,1849649.0,2020.0,12/21/2020 03:47:08 PM,41.742293339,-87.552732349,"(41.742293339, -87.552732349)"
12244616,JD458508,12/14/2020 05:49:00 AM,050XX S DREXEL BLVD,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,APARTMENT,False,False,222.0,2.0,4.0,39.0,15,1183165.0,1871825.0,2020.0,12/21/2020 03:47:08 PM,41.803486138,-87.603767011,"(41.803486138, -87.603767011)"
12139485,JD336623,06/01/2020 01:00:00 AM,054XX S WENTWORTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,ATM (AUTOMATIC TELLER MACHINE),False,False,225.0,2.0,3.0,37.0,14,1175887.0,1869033.0,2020.0,08/21/2020 03:51:30 PM,41.795991039,-87.630542489,"(41.795991039, -87.630542489)"
12136066,JD332725,08/14/2020 07:45:00 PM,0000X S FRANKLIN ST,0460,BATTERY,SIMPLE,HOTEL / MOTEL,False,False,122.0,1.0,42.0,32.0,08B,1174333.0,1900280.0,2020.0,08/21/2020 03:53:36 PM,41.881770084,-87.635309866,"(41.881770084, -87.635309866)"
